"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","Log In User","firefox","Sat Nov 23 11:09:13 GMT 2024","passed","Sat Nov 23 11:09:13 GMT 2024","API challenge","api-tests.test.js","",""
"","1457","Check correct login","firefox","Sat Nov 23 11:09:22 GMT 2024","passed","Sat Nov 23 11:09:24 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","322","Get Contact List","firefox","Sat Nov 23 11:09:15 GMT 2024","passed","Sat Nov 23 11:09:15 GMT 2024","API challenge","api-tests.test.js","",""
"","316","Delete Contact","firefox","Sat Nov 23 11:09:14 GMT 2024","passed","Sat Nov 23 11:09:15 GMT 2024","API challenge","api-tests.test.js","",""
"","1767","Check сontact validation failed","firefox","Sat Nov 23 11:09:19 GMT 2024","passed","Sat Nov 23 11:09:21 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","1592","Make new user with used email","firefox","Sat Nov 23 11:09:25 GMT 2024","passed","Sat Nov 23 11:09:26 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","761","Add user","firefox","Sat Nov 23 11:09:12 GMT 2024","passed","Sat Nov 23 11:09:12 GMT 2024","API challenge","api-tests.test.js","",""
"","284","Delete User","firefox","Sat Nov 23 11:09:14 GMT 2024","passed","Sat Nov 23 11:09:14 GMT 2024","API challenge","api-tests.test.js","",""
"","293","Add Contact","firefox","Sat Nov 23 11:09:14 GMT 2024","passed","Sat Nov 23 11:09:14 GMT 2024","API challenge","api-tests.test.js","",""
"","1047","Check contact list, after not add contact","firefox","Sat Nov 23 11:09:24 GMT 2024","passed","Sat Nov 23 11:09:25 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","1020","Go to api documentation","firefox","Sat Nov 23 11:09:16 GMT 2024","passed","Sat Nov 23 11:09:17 GMT 2024","Test without login user","ui-tests.spec.js","",""
"","301","Get Contact","firefox","Sat Nov 23 11:09:15 GMT 2024","passed","Sat Nov 23 11:09:15 GMT 2024","API challenge","api-tests.test.js","",""
"","317","Update Contact","firefox","Sat Nov 23 11:09:15 GMT 2024","passed","Sat Nov 23 11:09:16 GMT 2024","API challenge","api-tests.test.js","",""
"","280","Get User Profile","firefox","Sat Nov 23 11:09:14 GMT 2024","passed","Sat Nov 23 11:09:14 GMT 2024","API challenge","api-tests.test.js","",""
"","413","Log Out User","firefox","Sat Nov 23 11:09:13 GMT 2024","passed","Sat Nov 23 11:09:14 GMT 2024","API challenge","api-tests.test.js","",""
"","537","Check incorrect log in","firefox","Sat Nov 23 11:09:16 GMT 2024","passed","Sat Nov 23 11:09:16 GMT 2024","Test without login user","ui-tests.spec.js","",""
"","1421","Click logOut","firefox","Sat Nov 23 11:09:17 GMT 2024","passed","Sat Nov 23 11:09:19 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","1721","Create new contact","firefox","Sat Nov 23 11:09:21 GMT 2024","passed","Sat Nov 23 11:09:22 GMT 2024","Test with login user","ui-tests.spec.js","",""
